game_id,start_time,league_name,home_team,away_team,home_score,away_score,status,date_scraped
256223,2025-05-18T19:30:00.000Z,nba,Thunder,Nuggets,125,93,complete,2026-04-21 18:00:28.579654
257072,2025-05-21T00:30:00.000Z,nba,Thunder,Timberwolves,114,88,complete,2026-04-21 18:00:28.579654
257009,2025-05-22T00:00:00.000Z,nba,Knicks,Pacers,135,138,complete,2026-04-21 18:00:28.579654
257073,2025-05-23T00:30:00.000Z,nba,Thunder,Timberwolves,118,103,complete,2026-04-21 18:00:28.579654
257010,2025-05-24T00:00:00.000Z,nba,Knicks,Pacers,109,114,complete,2026-04-21 18:00:28.579654
257074,2025-05-25T00:30:00.000Z,nba,Timberwolves,Thunder,143,101,complete,2026-04-21 18:00:28.579654
257011,2025-05-26T00:00:00.000Z,nba,Pacers,Knicks,100,106,complete,2026-04-21 18:00:28.579654
257075,2025-05-27T00:30:00.000Z,nba,Timberwolves,Thunder,126,128,complete,2026-04-21 18:00:28.579654
257012,2025-05-28T00:00:00.000Z,nba,Pacers,Knicks,130,121,complete,2026-04-21 18:00:28.579654
257076,2025-05-29T00:30:00.000Z,nba,Thunder,Timberwolves,124,94,complete,2026-04-21 18:00:28.579654
257013,2025-05-30T00:00:00.000Z,nba,Knicks,Pacers,111,94,complete,2026-04-21 18:00:28.579654
257014,2025-06-01T00:00:00.000Z,nba,Pacers,Knicks,125,108,complete,2026-04-21 18:00:28.579654
257481,2025-06-06T00:30:00.000Z,nba,Thunder,Pacers,110,111,complete,2026-04-21 18:00:28.579654
257482,2025-06-09T00:00:00.000Z,nba,Thunder,Pacers,123,107,complete,2026-04-21 18:00:28.579654
257483,2025-06-12T00:30:00.000Z,nba,Pacers,Thunder,116,107,complete,2026-04-21 18:00:28.579654
257484,2025-06-14T00:30:00.000Z,nba,Pacers,Thunder,104,111,complete,2026-04-21 18:00:28.579654
257485,2025-06-17T00:30:00.000Z,nba,Thunder,Pacers,120,109,complete,2026-04-21 18:00:28.579654
257486,2025-06-20T00:30:00.000Z,nba,Pacers,Thunder,108,91,complete,2026-04-21 18:00:28.579654
257487,2025-06-23T00:00:00.000Z,nba,Thunder,Pacers,103,91,complete,2026-04-21 18:00:28.579654
258416,2025-07-05T20:30:00.000Z,nba,Heat,Spurs,82,69,complete,2026-04-21 18:00:28.579654
258417,2025-07-05T22:30:00.000Z,nba,Warriors,Lakers,89,84,complete,2026-04-21 18:00:28.579654
258422,2025-07-05T23:00:00.000Z,nba,Thunder,Grizzlies,80,92,complete,2026-04-21 18:00:28.579654
258423,2025-07-06T01:00:00.000Z,nba,Jazz,76ers,93,89,complete,2026-04-21 18:00:28.579654
258418,2025-07-06T20:30:00.000Z,nba,Heat,Lakers,83,103,complete,2026-04-21 18:00:28.579654
258419,2025-07-06T22:30:00.000Z,nba,Warriors,Spurs,88,90,complete,2026-04-21 18:00:28.579654
258424,2025-07-07T23:00:00.000Z,nba,76ers,Thunder,78,89,complete,2026-04-21 18:00:28.579654
258425,2025-07-08T01:00:00.000Z,nba,Jazz,Grizzlies,112,111,complete,2026-04-21 18:00:28.579654
258420,2025-07-08T23:00:00.000Z,nba,Warriors,Heat,79,93,complete,2026-04-21 18:00:28.579654
258426,2025-07-08T23:00:00.000Z,nba,76ers,Grizzlies,91,90,complete,2026-04-21 18:00:28.579654
258427,2025-07-09T01:00:00.000Z,nba,Jazz,Thunder,86,82,complete,2026-04-21 18:00:28.579654
258421,2025-07-09T02:00:00.000Z,nba,Spurs,Lakers,88,89,complete,2026-04-21 18:00:28.579654
258428,2025-07-10T19:30:00.000Z,nba,Timberwolves,Pelicans,98,91,complete,2026-04-21 18:00:28.579654
258429,2025-07-10T21:00:00.000Z,nba,Pacers,Cavaliers,116,115,complete,2026-04-21 18:00:28.579654
258430,2025-07-10T21:30:00.000Z,nba,Nets,Thunder,81,90,complete,2026-04-21 18:00:28.579654
258431,2025-07-10T23:30:00.000Z,nba,Kings,Magic,84,81,complete,2026-04-21 18:00:28.579654
258432,2025-07-11T00:00:00.000Z,nba,Mavericks,Lakers,87,85,complete,2026-04-21 18:00:28.579654
258433,2025-07-11T01:30:00.000Z,nba,Bucks,Nuggets,90,89,complete,2026-04-21 18:00:28.579654
258434,2025-07-11T02:00:00.000Z,nba,76ers,Spurs,70,111,complete,2026-04-21 18:00:28.579654
258435,2025-07-11T20:00:00.000Z,nba,Celtics,Grizzlies,92,78,complete,2026-04-21 18:00:28.579654
258436,2025-07-11T20:30:00.000Z,nba,Heat,Hawks,98,105,complete,2026-04-21 18:00:28.579654
258437,2025-07-11T22:00:00.000Z,nba,Pistons,Knicks,104,86,complete,2026-04-21 18:00:28.579654
258438,2025-07-11T23:00:00.000Z,nba,Hornets,Jazz,111,105,complete,2026-04-21 18:00:28.579654
258439,2025-07-12T00:00:00.000Z,nba,Raptors,Bulls,116,72,complete,2026-04-21 18:00:28.579654
258440,2025-07-12T01:00:00.000Z,nba,Suns,Wizards,103,84,complete,2026-04-21 18:00:28.579654
258441,2025-07-12T02:00:00.000Z,nba,Rockets,Clippers,92,95,complete,2026-04-21 18:00:28.579654
258442,2025-07-12T03:00:00.000Z,nba,Warriors,Trail Blazers,73,106,complete,2026-04-21 18:00:28.579654
258443,2025-07-12T19:30:00.000Z,nba,Bucks,Cavaliers,83,93,complete,2026-04-21 18:00:28.579654
258444,2025-07-12T20:00:00.000Z,nba,Spurs,Mavericks,76,69,complete,2026-04-21 18:00:28.579654
258445,2025-07-12T21:30:00.000Z,nba,Thunder,Pacers,104,85,complete,2026-04-21 18:00:28.579654
258446,2025-07-12T22:30:00.000Z,nba,76ers,Hornets,94,96,complete,2026-04-21 18:00:28.579654
258447,2025-07-13T00:00:00.000Z,nba,Bulls,Kings,92,109,complete,2026-04-21 18:00:28.579654
258448,2025-07-13T00:30:00.000Z,nba,Pelicans,Lakers,81,94,complete,2026-04-21 18:00:28.579654
258449,2025-07-13T02:00:00.000Z,nba,Nuggets,Timberwolves,83,94,complete,2026-04-21 18:00:28.579654
258450,2025-07-13T02:30:00.000Z,nba,Trail Blazers,Grizzlies,86,96,complete,2026-04-21 18:00:28.579654
258451,2025-07-13T19:30:00.000Z,nba,Hawks,Suns,98,80,complete,2026-04-21 18:00:28.579654
258452,2025-07-13T20:00:00.000Z,nba,Rockets,Pistons,83,98,complete,2026-04-21 18:00:28.579654
258453,2025-07-13T21:30:00.000Z,nba,Celtics,Knicks,94,81,complete,2026-04-21 18:00:28.579654
258454,2025-07-13T22:00:00.000Z,nba,Magic,Raptors,86,89,complete,2026-04-21 18:00:28.579654
258455,2025-07-13T23:30:00.000Z,nba,Cavaliers,Heat,92,72,complete,2026-04-21 18:00:28.579654
258456,2025-07-14T00:00:00.000Z,nba,Wizards,Nets,102,96,complete,2026-04-21 18:00:28.579654
258457,2025-07-14T01:30:00.000Z,nba,Clippers,Bucks,106,91,complete,2026-04-21 18:00:28.579654
258458,2025-07-14T02:00:00.000Z,nba,Jazz,Warriors,93,103,complete,2026-04-21 18:00:28.579654
258459,2025-07-14T20:30:00.000Z,nba,Rockets,Hawks,108,111,complete,2026-04-21 18:00:28.579654
258460,2025-07-14T22:00:00.000Z,nba,Pacers,Bulls,105,114,complete,2026-04-21 18:00:28.579654
258461,2025-07-14T22:30:00.000Z,nba,Mavericks,Hornets,69,87,complete,2026-04-21 18:00:28.579654
258462,2025-07-15T00:00:00.000Z,nba,Heat,Celtics,100,96,complete,2026-04-21 18:00:28.579654
258463,2025-07-15T00:30:00.000Z,nba,Spurs,Jazz,93,91,complete,2026-04-21 18:00:28.579654
258464,2025-07-15T02:00:00.000Z,nba,Kings,Suns,94,76,complete,2026-04-21 18:00:28.579654
258465,2025-07-15T02:30:00.000Z,nba,Lakers,Clippers,58,67,complete,2026-04-21 18:00:28.579654
258466,2025-07-15T20:30:00.000Z,nba,Pistons,Timberwolves,73,89,complete,2026-04-21 18:00:28.579654
258467,2025-07-15T22:00:00.000Z,nba,Knicks,Nets,97,93,complete,2026-04-21 18:00:28.579654
258468,2025-07-15T22:30:00.000Z,nba,Magic,Thunder,75,92,complete,2026-04-21 18:00:28.579654
258469,2025-07-16T00:00:00.000Z,nba,Nuggets,Raptors,97,101,complete,2026-04-21 18:00:28.579654
258470,2025-07-16T00:30:00.000Z,nba,Wizards,76ers,58,74,complete,2026-04-21 18:00:28.579654
258471,2025-07-16T02:00:00.000Z,nba,Pelicans,Trail Blazers,87,93,complete,2026-04-21 18:00:28.579654
258472,2025-07-16T02:30:00.000Z,nba,Grizzlies,Warriors,84,96,complete,2026-04-21 18:00:28.579654
